ID,projects,UTC of create,UTC of last modify,UTC of buggy commit,UTC of fix commit,defect file hash,fix file hash
237,Azure/azure-sdk-for-java,2011-12-06T23:33:56Z,2023-06-23T06:30:42Z,2020-08-27T07:42:24Z,2020-09-03T00:19:16Z,120df1641a162115ee71c145b150468298b7f4d6689594e448c99a27a8f60d02,66f2d0c138b6e90b1706fcf6f7171e9de1994d0d1b7d327bb4c442fbb3145e77
238,Azure/azure-sdk-for-java,2011-12-06T23:33:56Z,2023-06-23T06:30:42Z,2020-01-18T07:37:18Z,2020-01-22T21:00:55Z,09631b4e2ac7e82476457de0d9d36b7a6d159c5e5acb5db1371d9ed05828b7f7,d6372d2a4fa59e237defaee7332f4092ba6e8eabc27af5acf2a1fe88940f595a
239,baomidou/mybatis-plus,2016-08-18T10:06:53Z,2023-06-16T02:20:46Z,2019-01-08T07:29:52Z,2019-01-16T12:20:30Z,cebad623565735a57dae3569657c8b3a8110643ab73b9768dd33916a53afe43b,8c060cfcbc6114e6076ae1b6434f58895b290d246a3821ce873b77ad6bfa8a52
240,bastillion-io/Bastillion,2013-02-07T23:11:49Z,2023-05-12T02:58:59Z,2016-06-18T01:56:51Z,2016-08-03T05:57:43Z,7845e70fa9fd28a5705dc6375fb1da2ac0c5856ce2e58aead2d8d28852281e7b,a1330edb7d09f5d5acd41cabb3e9a5f2e57cebe69265ea5114a37bffb1e75513
241,batfish/batfish,2014-12-03T21:10:18Z,2023-06-20T05:24:54Z,2017-09-11T20:46:54Z,2017-09-12T01:19:06Z,5cbf1e9ff0d8e8f529d182a756f279f3a07046d9220ef30cad883bedfd8184c1,24eb18b7c402d5240e88fda4ccac474e0a7ff866dd8b5c989464d03bd3edc77a
242,batfish/batfish,2014-12-03T21:10:18Z,2023-06-20T05:24:54Z,2017-09-08T19:12:05Z,2017-09-08T22:48:22Z,848d93f8ee27343cd8affe9cd42dace1b2e70dc3102e9a94e47a4034d6290b08,3d27fb08c61b2bc378037873d53193ff7d5cd8ab71742bfe6210513b8b572431
243,bazelbuild/bazel,2014-06-12T16:00:38Z,2023-06-21T09:46:06Z,2018-06-08T14:41:04Z,2018-07-10T13:12:53Z,c4348e04aca64c506f157f33677b4603011903e0a16ec519908bbee21b5d14d4,5c8d602658b70346af489cdeae2ee8f5be3cc7bb73fbac286170790000e395aa
244,bazelbuild/bazel,2014-06-12T16:00:38Z,2023-06-21T09:46:06Z,2020-07-07T19:30:15Z,2020-07-11T02:32:49Z,da1f3779c6c090e4b398f7d6bd77136322f012e87af8058422d05ee5827f9232,f24fc5050b5c047abedf2f838891a94a32f09f68f467ab1e236353789bb30701
245,bazelbuild/bazel,2014-06-12T16:00:38Z,2023-06-21T09:46:06Z,2019-06-29T14:51:12Z,2020-07-11T02:32:49Z,efef1b20c386d69158716d3f306bbb202896be750d4ffe18d74cc4e2e650006a,eb9266c77513cc88d09dc2090978b637cdcd4f4d9c70e275abdb8a830a2ab1c5
246,bazelbuild/bazel,2014-06-12T16:00:38Z,2023-06-21T09:46:06Z,2017-02-13T14:21:30Z,2017-02-28T20:56:09Z,bf8b7e30c4dd308cd0da252d878b993930daa30af3c8a205f25f910b4c228af3,64d2f7827c385ade13859b2f1e5f93dd3ffe78e411288dd3f8cc927df954c693
247,bazelbuild/bazel,2014-06-12T16:00:38Z,2023-06-21T09:46:06Z,2016-07-07T14:54:16Z,2016-07-11T09:39:14Z,17dd120bfd92b64a927128d780975a63135c9066eb13545c64f6886dfd0a9f3f,7475757bb9eca5e76990c4b2055bea551166dbde8f5f046336dc50df2716a4f2
248,bazelbuild/bazel,2014-06-12T16:00:38Z,2023-06-21T09:46:06Z,2015-10-23T14:56:15Z,2015-11-05T16:49:27Z,dc2b2f59e96d2faea48aec96217e615ca97c2b3342b61626952f1af743e3fe0f,2ae7bd83a5477df8651597638540498e1dfa6a7488dbb5c432f4c7e252e75811
249,bazelbuild/bazel,2014-06-12T16:00:38Z,2023-06-21T09:46:06Z,2016-06-16T09:02:14Z,2016-06-27T20:06:15Z,7843db005c68c5dae2a698953a2c94e4f00aa23d5f63339ba285ead8814e3d69,c5b3865a67b190ad4d8ff233843ec5be8a3b817f28e7d328064c7554ff17814c
250,bazelbuild/bazel-buildfarm,2017-07-06T13:42:14Z,2023-06-23T02:43:00Z,2021-05-28T14:30:04Z,2021-08-17T20:51:28Z,bc550b97e14725f94576fa904718c48fdaff8c73187effe6db3622e617609917,9a53cd0297c3ce97bc0f60b1c3fccf5550073f3e25d3e33d5858b166ba24405f
251,beanshell/beanshell,2015-09-23T15:36:06Z,2023-06-06T22:48:03Z,2019-03-19T18:34:47Z,2019-06-21T10:58:38Z,724a50f21e7f8e9887f35466ef5de833630fddc4c61d99d3337b6ea419df2151,6154ac8164d1db782e51631dcd88514486eebe8bed8e96c51e0f0072d47d4147
252,BiglySoftware/BiglyBT,2017-07-20T20:40:00Z,2023-06-22T21:11:11Z,2018-03-07T09:27:06Z,2018-10-01T02:37:08Z,14743334ea2966c03348ee86f3b00d2140d3590934d76dc2fa327b2049cdbde0,249f5fd8240751e1a8ea542dd8e769e84cb334a7357d66e00f7e11ceb93548d0
253,BiglySoftware/BiglyBT,2017-07-20T20:40:00Z,2023-06-22T21:11:11Z,2017-07-20T20:45:03Z,2018-02-22T08:59:54Z,9ca1f41c3f3ab184d20aaa0414adadac2dcf066ed3e34cc3c5101c9be9ff3e1f,9f02a3c636ed01fcb08290df79966dd7831320cb613a0367a392e55fd6df820f
254,biojava/biojava,2013-04-03T16:27:17Z,2023-06-21T06:45:58Z,2016-02-10T06:54:58Z,2016-02-10T18:06:31Z,6b53666b8b3269504a313a1ed2d37e7538bccfe04737d49ca8084b596830de03,e8dc224aa30eb0232b49bb9c58c3752dc405b4edb09d218ceec9a0b5ced1d76a
255,bitcoinj/bitcoinj,2013-11-19T04:33:23Z,2023-06-15T19:40:23Z,2014-08-15T04:35:15Z,2014-09-08T11:07:03Z,1c20db204f969b1782404291d8e753fa876e7fdc16eda0aff70ddddf06c43a05,efc70a6ee4d358893e5185c57b6d357868fb4447629a2a4f1ef09d5d0c636761
256,Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,2023-05-22T01:52:08Z,2016-08-11T11:38:14Z,2016-08-14T23:53:03Z,68b3bf8027817d17c80ee8dab5457d2f65c234a936358e870fb0725cf99f158b,2b7305bbb1497036ba9084cbf855964a9b5c6b550d8affdd7d64273505bd0174
257,blazegraph/database,2015-12-22T19:52:44Z,2023-04-16T22:22:56Z,2015-12-22T19:52:44Z,2012-01-27T19:38:04Z,71dbf86b2733c8b107b2c97e5e2ac5557bd54e781e1b77b1a9d7804d3ba8b0b0,e9d9a079147306e6d5bb42e715693701090e5bd9db788d94be83eaf29c9b7e3d
258,blazegraph/database,2015-12-22T19:52:44Z,2023-04-16T22:22:56Z,2015-12-22T19:52:44Z,2012-01-27T19:38:04Z,71dbf86b2733c8b107b2c97e5e2ac5557bd54e781e1b77b1a9d7804d3ba8b0b0,e9d9a079147306e6d5bb42e715693701090e5bd9db788d94be83eaf29c9b7e3d
259,blazegraph/database,2015-12-22T19:52:44Z,2023-04-16T22:22:56Z,2015-12-22T19:52:44Z,2010-04-13T13:33:27Z,09dd6b98b2cf7fc440232e00970854d8f3d8571043ec36e2dad5a5066e5f9b15,2a8d149d2bb0855e062ea8ec30842272bc8311676f79cc37a18d64b425d9b714
260,blazegraph/database,2015-12-22T19:52:44Z,2023-04-16T22:22:56Z,2015-12-22T19:52:44Z,2010-04-13T13:33:27Z,09dd6b98b2cf7fc440232e00970854d8f3d8571043ec36e2dad5a5066e5f9b15,2a8d149d2bb0855e062ea8ec30842272bc8311676f79cc37a18d64b425d9b714
261,blazegraph/database,2015-12-22T19:52:44Z,2023-04-16T22:22:56Z,2016-06-18T16:28:25Z,2017-06-16T18:52:09Z,189b980be62264f812e622e0ae7e44d002dd65c012d8de05f1ce02b3990308a1,e7be2f791749a4147bf0a35c9246c918540907a3526397459e92830cb9402890
262,BlueMap-Minecraft/BlueMap,2019-11-02T16:25:07Z,2023-06-22T06:21:44Z,2021-11-14T13:18:31Z,2022-01-09T14:54:06Z,d58a0aea3c0f1178d67792c21eee9cf966b20d755c290a76937f107adb13fe2d,7048e6c291ae057d1972d448e9c88e2e897f9f0eb1097ffddd711dfb31d7f1e5
263,BroadleafCommerce/BroadleafCommerce,2011-12-09T17:53:52Z,2023-06-23T08:07:14Z,2014-08-04T08:44:03Z,2014-08-04T09:11:33Z,e767053331914bdf6941c4668eda5d9221e30be8691e68c0b5c76c098ab1742c,2f84566e5e574a440fa2bbc339e54ab0a5b147a9d0f96920b8e31b894b1680d4
264,bytedeco/javacpp,2014-04-21T12:47:21Z,2023-06-13T12:33:06Z,2015-10-24T03:04:58Z,2015-12-12T12:43:57Z,b5cc11b6303cea718b836ed9b2146dc03328ae52b672531080572fcc1102b9d4,466f90c51c5ecf8045cc1282b3c03db28711f15a79f5ef4af49a25cd1908a837
265,bytedeco/javacpp,2014-04-21T12:47:21Z,2023-06-13T12:33:06Z,2019-10-06T14:17:52Z,2019-11-15T04:06:57Z,1d595a8c758f660657b6f25667a0780047905d0f187b2dcdc86a4163b507ed0a,e4b3ab354d85d2a00ddc65f07910c730ad6db4116a7abf3595067e58458edb41
266,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2016-08-19T20:37:03Z,2016-08-19T21:00:26Z,88083f346b537ea778aaad226adac9d98c09a9f09f6a02fae6981104fd149a92,26613acdfd44c7b6ab5735befb98417303a4b994d534b8c1006649a54cadfab3
267,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2015-08-10T20:44:54Z,2015-08-10T21:02:37Z,b7ec823f5638a0c4330c3dec7826ac53ca24b1c0461dcde827e9fa43ac922d18,5eb0b3d7f1266a546d2320395ddc44b1f8ddb0bb603ef53d48415e1b91e28223
268,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2015-07-08T23:30:12Z,2015-07-29T00:11:40Z,e99daf39ac57a9adba8db8c2e943f42843587b185979bdf2873730b1e14358e4,aaef5eb989d58e0caa9a697e38bd5952eb718a4229aac35fe51d0f901d59dd69
269,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2015-07-14T23:23:31Z,2015-07-15T08:46:56Z,09a89015450f2217e7618f26f0d805025c2c6ae582f6325ae2a5b6dbadab17dd,276768911e3e0f6fe49813facf74da4f4a4a1a463c888c620c0d799e0da17c48
270,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2015-03-17T21:40:17Z,2015-05-06T07:32:01Z,7238eecdffe4257c8cba8ff4b3046a78dc692b0ac4dc7d66b6558fc2d825c3d2,994e6fbe1b73a48791635a5c46c26242a7cffb0ecfbe2a98d2f5feeaed89ecfc
271,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2015-04-13T18:45:09Z,2015-05-06T07:32:01Z,0d684b05a433ba9a2b26c1b33b6d120c4fca951db7238ba99aca11e51a0a5563,0f8a23e622b03d9df13a2061d7f1186bc91ce675948aaefb74f579f541ffdeb4
272,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2014-06-23T21:30:40Z,2014-06-23T23:19:59Z,7880704f65f270cdd92c9582ca6c28c1977dafc9e93674bcdc6777d00cea57ed,c0324b3af7aab0c9821e5327701d087d6c7a635f6b60bf156eb4eb5957cadbb1
273,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2014-06-23T20:35:20Z,2014-06-23T23:19:59Z,b540bbb51d5c4af2e7b3be32c29351246ed8315716239dda834d140ea1d75fbd,31a83fb894ab84bccd8a20f180ae8fe3453161dd5ad97753c4a72fa65553ffdd
274,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2013-11-16T00:28:02Z,2013-11-19T19:26:13Z,b992bd6443941b7fe0c4bd8830a7d322017d18cfae52f4396da6f036ba2b2b9d,3f304a740051a883fb6c1d053f016abdc811032cb758fd667def8b9dcd07e5e1
275,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2013-06-28T22:51:05Z,2013-07-10T20:04:47Z,38cac4360d21c3cff3fd800ae8870ffcc6dbaa8876c686180b65b083cd29251f,b65867b9906841a6eed3a748e1a9494323d31b77c1f7bb1674f4068391899f88
276,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2014-08-02T09:00:10Z,2013-02-25T03:37:27Z,ca36e3ceada4b104f3aed36b03337583eb5991d685cb65985eab980b89047fb8,8a91f677de4e492ea225ec28f43f40ba691a2a63a3f62fa2942254fef5d88c02
277,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2014-08-02T09:00:10Z,2013-01-21T22:41:28Z,2e3d698a03da60f418a980cd10a91d64a2b58b9ac35e41ccf63b72f41203f13f,b66f325fb6f491e78b7e8285f3789a84393455877334bc3249c4efb21cf2c875
278,cdapio/cdap,2014-08-02T09:00:10Z,2023-06-23T00:19:30Z,2016-09-15T20:52:01Z,2016-10-04T01:10:05Z,113d4069abe682ffbb5247fb533c3325651b4d632a0c6e76be0cbdc89f3d633b,0aa8c17fc7626bf23cac6063ef73583c20bb47165af5fae3505a9d0f101ed205
279,cgeo/cgeo,2011-07-11T06:02:47Z,2023-07-20T22:38:30Z,2011-08-10T19:04:46Z,2011-08-11T11:59:41Z,d7e8a442b3b166ca064774351022e722d705c899cf3650858fa325f9801d03ba,eb8ee2ce8f0af4435c29eacd02b51d7cb4c591aa7a084ff1f142e15951330159
280,cgeo/cgeo,2011-07-11T06:02:47Z,2023-07-20T22:38:30Z,2011-10-01T11:06:23Z,2011-10-01T11:06:23Z,c55db5eeb5bcf287ad0d90b844a13b8b806ceeb9e747ffaf75f135207f59ca72,b539c3e66930e3906b320f2d3d9c338476bda9d3a5e73adc1a7bbebec5e38658
281,cgeo/cgeo,2011-07-11T06:02:47Z,2023-07-20T22:38:30Z,2011-11-25T08:08:01Z,2011-11-26T07:34:29Z,fab955570f62eab0dfae2649ba013ec70cf0a77d0976b0ebd465d116ed68c84f,a0e1b4c9538654bbc225949ea5a0e8a281190363b3e9066e26e4a453d1eee742
282,cgeo/cgeo,2011-07-11T06:02:47Z,2023-07-20T22:38:30Z,2011-08-12T15:19:41Z,2011-08-12T17:15:08Z,d825d9d6a3826d4651ff263cf0ec544132e0528e22fa74db7fe6cfb73eff9bc2,68e334e6921db1a9f212fdae4c2c77c04b18e542d8dfdb8e17c65862e648cdbe
283,cgeo/cgeo,2011-07-11T06:02:47Z,2023-07-19T22:01:03Z,2011-08-10T07:44:08Z,2011-08-10T17:34:42Z,ae25132326a3afd3258220ea7ec2c593f062798b068037c1865e782da73b6002,5226c7b500ab289b172e40c50fd77640f7239b90ade653d2a2836d641813dc09
284,cgeo/cgeo,2011-07-11T06:02:47Z,2023-07-19T22:01:03Z,2011-08-10T19:04:46Z,2011-08-11T11:58:51Z,580d2ae1b7ad4008cceed5dbc5b587307be12e84d89f9a137745647e8f51bada,47ced305525129fddd7e7fe7431a2d6f88af4437a22df959d63c887fa06a605d
285,chunky-dev/chunky,2012-11-09T08:27:27Z,2023-06-21T10:19:15Z,2016-09-11T16:36:39Z,2020-09-18T21:50:54Z,04b24a44208be430bf335b4593e65e612c9afe832858c78d46f087832b23a40b,49ebe4bc04029d031ef230dc7bc5a5d35f3cceeb20211557bef8b5c9b8c8e67b
286,chunky-dev/chunky,2012-11-09T08:27:27Z,2023-06-21T10:19:15Z,2016-09-11T16:36:39Z,2020-09-18T21:50:54Z,72fc9f6f7188adb3f09ef102dd33cbc5c851ebb0df8c53a425d46711c241a8ae,9585f84b64d53ed23af13ad43276164f26ab0cd38aafbb63ffadcfe2463a3970
287,chunky-dev/chunky,2012-11-09T08:27:27Z,2023-06-21T10:19:15Z,2020-05-10T20:16:31Z,2020-09-18T21:50:54Z,24dc651f8fbfb182a3486da5c49900def4be74f3fa2f881fe6ce9910c1f2bc71,0132226267f22f92f9c056f5a865e5e95a92e896970eb69fb0f218d7f8e95b96
288,ClickHouse/clickhouse-java,2016-07-15T12:48:27Z,2023-06-15T16:21:57Z,2022-06-25T15:01:55Z,2022-09-14T11:02:39Z,05ad2e57a6fe0b236e1bf296b4f165ef268d7b7ff3440cdcedebb87e7b004d75,4b0dfce5a520e1f3c8daa6df2ccbd949efab081420d59935fd93ca79405d8340
289,CloudburstMC/Nukkit,2017-12-04T19:55:58Z,2023-06-22T18:40:56Z,2018-07-30T15:40:26Z,2018-09-18T19:38:46Z,24ac80f670246e672bd1e4c1d5b30363f9e9c6b5a8607412e34e1f5663dfc6e0,eebd3155aedb38a41545adb0b387d4466162e991370216101731320a3b6d9f12
290,CloudburstMC/Nukkit,2017-12-04T19:55:58Z,2023-06-22T18:40:56Z,2018-02-12T23:15:33Z,2018-02-12T23:18:14Z,6648b3c161524521a3df9b9cd858f33aca6359ceb452d3a45301009daa891882,505df116d01ec38043067d770b70ea9e2f34fa74ad0dcdf8dc928fbd5750e369
291,Col-E/Recaf,2017-07-27T06:01:10Z,2023-05-03T23:41:35Z,2019-07-20T04:56:39Z,2019-08-09T13:59:57Z,534ac0e286d0941929d6d42196e844949d1b950ea0bc1a262a340503cc463e1a,6b853ee42e2b686d40e32dd9d0c01c32a9c50cb5ba512f666a52a6574e57447e
292,confluentinc/ksql,2016-09-27T21:30:15Z,2023-06-21T19:34:56Z,2021-12-14T19:05:34Z,2022-02-15T23:53:43Z,513bee5b5a16962e0a8cb7522f51fa78d3963955df66b6fd38a7266546730896,c2507e424ff58acdf4ffe5e72324b4549d9b076397643110874b7ffefc861c51
293,confluentinc/ksql,2016-09-27T21:30:15Z,2023-06-21T19:34:56Z,2016-09-27T21:30:15Z,2020-07-01T11:48:24Z,5165375e09981a04beafa9598b4c76f9769cd9d326bff6fa0248c4ba58118899,6354fb8c2f607cd3e10eb47f1448f03347b35dc490fd61709a4568dc80d776d6
294,confluentinc/ksql,2016-09-27T21:30:15Z,2023-06-21T19:34:56Z,2020-05-18T08:16:54Z,2020-07-01T11:48:24Z,5165375e09981a04beafa9598b4c76f9769cd9d326bff6fa0248c4ba58118899,6354fb8c2f607cd3e10eb47f1448f03347b35dc490fd61709a4568dc80d776d6
295,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2013-01-24T11:15:29Z,2017-05-17T16:13:34Z,8f66afb0726c1c79114904a366cf98e214bcd9ce67f6889af1fc1e467525efff,f1a7a8ca3c3fef4df7cf30d2b4d071810069a27cfc91fdd5d04c9d55e0ccf411
296,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2012-09-19T10:21:15Z,2012-09-24T14:41:28Z,9cbe973f36f05591d2bc1deed9e3fad95563c5f63f3a118e703addf6f90bb6aa,f27a95bc7d8e1ee59f31350f81f6ce7e8386f199ae5ecf4969b2166188803e4b
297,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2011-10-04T08:18:18Z,2012-06-18T08:53:25Z,38a21139f087b3f4fb1d70d610bf69f88e836172346a80f59056c7d1c7abe8b0,bbd3bb914225ff7a2aa402b81ce3e8a22741fc53ef6edef381ee27032802b659
298,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2012-01-24T17:58:01Z,2012-01-24T18:08:03Z,30978f98f193d8f6fcaaa87eae302da08874565ebbf7a870623cc006d654ce21,414bf6388682d9f2f5e27c7b3fa13f1df84c547c813384231a7166d09a648346
299,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2010-11-25T11:50:26Z,2010-12-06T12:03:25Z,706557514401f4a86c6a5b04474d47176b6223576d7a054a400284deedf25aa4,c793b1e44f0d7a5bee3a7d23290e51c1247778334503fbc6cd11b9be7dde89df
300,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2009-02-20T01:44:28Z,2009-09-28T13:30:19Z,52bf08775005c9e19771d804750d8defb8bace97703ce93a0c556852d2004aca,1b04b867dfca57642bc67d5b2bd17ad147cf787aa0e3f730afa92a07f8ab2a0d
301,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2007-08-01T17:23:05Z,2007-08-01T19:10:10Z,dd7b4fc85f1efeb2289bf9d894e66f08e139292db3d51bf8d53662e4c6a89882,eb3772fcee0cceb9959ce8adfe4aa5b5c7704c042cb5fde691a47cc33d1ae0a4
302,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2006-01-05T23:01:23Z,2006-01-06T10:13:45Z,dae279aa6323502f3782cc66189a285b5185943aa24f00c0fa4e2b3085ffc9e9,9b8794dd2c2a34276a628e1c0266c33810180ac10e83e1e163b803961027522f
303,consulo/consulo,2013-05-17T05:48:18Z,2023-06-23T01:06:08Z,2011-11-04T11:47:26Z,2011-11-04T20:46:35Z,b8f630ee84cd9b3c52b71d79deedebca3b75618a5b614abd8e9405c6430f95ec,68207441995777561c180663d3393c5c2cd292dcd092c3c96f232a04ae70cdfb
304,corretto/corretto-11,2019-02-11T20:13:52Z,2023-06-23T08:07:24Z,2019-05-07T02:21:04Z,2020-11-11T09:24:42Z,d79ce9a93059720edc3f061535311a13cdf07e7af462f39745d9b10dbd37de39,ef7862069bc5551634a9c226e6998b7ae84efe7636e02da38d7afaadd5fa31a2
305,corretto/corretto-11,2019-02-11T20:13:52Z,2023-06-23T08:07:24Z,2011-09-16T19:09:04Z,2014-04-15T10:24:42Z,6b880cdf7676102a8d57fd0b6a898f7c70703f83d4d31c2d0f1d28306e31565c,24e76289729826f8706031f8512ea75185a1558f43ff961aedcd8492e51ea714
306,crate/crate,2013-04-10T09:17:16Z,2023-06-21T15:19:15Z,2015-10-04T10:22:09Z,2015-10-22T11:57:39Z,fa04413d955ad3d4b30676612fe69ec265512a614114f74c39f92f2212bad6f2,8c0bc97f1ce685a8954f520a50155e7c978c78f4981e893c55549e3b52e6c2b9
307,crate/crate,2013-04-10T09:17:16Z,2023-06-21T15:19:15Z,2015-07-17T09:34:44Z,2015-08-26T12:04:33Z,1b24069c76823db2a17be88bb04160f3ddb61776644ecfb05f89b95c3f91f4a3,13b3e3b31e030ffeb91b5cb07046e9444d2ad9eb35ba8994198abf167875c405
308,crate/crate,2013-04-10T09:17:16Z,2023-06-21T15:19:15Z,2015-06-03T13:07:02Z,2015-06-08T10:01:21Z,d3639d9d3be760a7b39dd5cc17b8846ef862905c0590ff97082473f112bf6b34,3d1a292b4deb851d5be38a6df5de2f4aaa9f5bce3b97c356c5dfcb6dfa6de33e
309,cucumber/cucumber-jvm,2011-06-27T19:49:46Z,2023-06-22T13:14:42Z,2011-06-27T19:49:46Z,2017-07-09T11:07:34Z,a2954e3a7c8d23154676358bc35d4ffcfcdda2e71b9c3d44fe1410a8144987d1,a8448f4b4910445675f9a901074394569ba1ed2eeb33b8058f1ae3ed80d05b89
310,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T14:47:06Z,6526d81948eb1bfa13c1a86cc22a02c0f150cf4c01212cd5b9c7fe75c798c7b8,6a231551c8b3fee463dbc5a976f0bac303a4931b753ec04249697b273e853d67
311,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T14:47:06Z,305efcfdcc7503bd1fcbfbd3ce7d3e450902ea066c537c2a4f6576b3997f8be0,f4268a8e5cf9cc7dec1b02c385d1d3d693cd0b02ea83f8f99f377540d38cf87f
312,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T14:47:06Z,863df440ab0673e64f18e9d02ca1c481234ba6d632ab57aa269c4ace41537740,ecd93ada2c78e1e36d7fafe81cb5838ded10e83fcd7ead1e32aded9a3eb5d4d4
313,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T13:55:26Z,028b72f70d45381ddfee5448c678fb7c98805c37c58d44005eee1ce58fb3afdf,9f460e35d436d5d3346bd2bb1fe5fead7662240ec35af15fb3fd965642dbe8ad
314,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T13:55:26Z,6931381a87e3f732e0474e015d2c8de5c40110b9759a3d3742241b9ef4b39501,3164438aca5b8ef4b4bb7e5da17569161470454a9b68264f34298ba45704290d
315,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T13:55:26Z,3d7d676d1e9243f342c2bdf42cea61cb96323a198a3652f74e14b7ef66875a0f,4807daeed360080b41703dc08b989cec2d484d9e2d0eddc14c00bcb42e4cdf0f
316,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T13:55:26Z,9fdfad0b989f7315daae11dc6d405ea3dbc4d44185aa44954c48185a2816a2b5,8ca43a9421aea16aaf0f558bfc12db65477335e45bc1025c86178b084d2972bb
317,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T13:55:26Z,4f363376d31c63610a8246024828a44433966f978d3a2799d8e060a856b0b3e9,a4833ff1d607a2c8c3f8e0a0bc9c54a7bec78e1ab201e177500bc0cc801321cd
318,datacleaner/DataCleaner,2014-02-20T20:37:25Z,2022-08-09T20:35:14Z,2014-07-19T20:31:26Z,2014-07-29T13:55:26Z,228cb553287259197f10e04c076bba6d85da64cb4de5b95846a4cfb0a9b9d980,042d616d54c27fdad875650598a261bc71b8e1066e8f27a1402ddc4686a428c3
319,DataLinkDC/dinky,2021-06-09T07:11:26Z,2023-06-21T15:19:31Z,2022-03-18T13:08:48Z,2022-04-20T11:02:29Z,7c7410a1fb3e0cfe67534e9acf3136a6a0eef65eaca9bac8b052b55c67d4d7a7,36519fe578b3c54c21f4391d57192ca49729edaa82daa07400abbc97a0d07b48
320,davemorrissey/subsampling-scale-image-view,2013-08-26T16:45:25Z,2022-03-30T10:42:13Z,2016-04-28T06:51:02Z,2016-06-18T20:38:15Z,cde22fecf0ed557e7cabd42edca520371dd900a55c79a6158fe212df203ddf5f,1b99ecb937f5b6cdce90c32aca9e296470197e64dc8c87ebbf54ae0c8bcf89af
321,davidmoten/rxjava-jdbc,2014-02-09T08:07:31Z,2023-06-08T00:58:10Z,2014-02-27T11:08:44Z,2014-02-27T21:11:35Z,35124bc0ee1a6d8b64a9ec9a03c1d8bdc203a18f3c8c81174575936b83ee8cae,7cff1d2b12bcbcd8eda60aa6cff08b6821b4a078e9e29c66f26faef2a986ef87
322,davidmoten/rxjava-jdbc,2014-02-09T08:07:31Z,2023-06-08T00:58:10Z,2014-02-27T11:11:52Z,2014-02-27T21:11:35Z,7a7d42d20571c8af94bba1d430e812bc599f93fa07590ebefa7d01d2977c31d4,1664a3f6cb25bc5372cae4dc6ea237a3ec24131313447717b975430a783bc001
323,dbeaver/dbeaver,2015-10-21T08:26:28Z,2023-06-21T09:24:23Z,2016-02-23T12:54:29Z,2016-02-28T09:17:24Z,a9bb06762719b5364e6a9bb2eb3391033d6a4ac5814dff1bbcad3c89d7d1516e,e5f675c740a81c88443cfea35e65e1f010c59da540a7d10057af80033c692b5a
